a0,a1,a2,a3,a4,class
2788.174,1655.2409,953.9173,16.953582,83.743656,CS
2817.5232,1623.1003,953.9173,17.923113,82.38932,CS
2964.2692,1655.2409,992.8527,22.110457,79.429214,CS
2905.5708,1655.2409,934.4496,18.242041,80.280757,CS
2876.2216,1639.1706,914.9819,17.704156,80.65358,CS
2876.2216,1639.1706,914.9819,17.628336,80.65358,CS
2876.2216,1655.2409,914.9819,17.323691,80.956779,CS
2876.2216,1639.1706,914.9819,16.985044,80.65358,CS
2876.2216,1639.1706,914.9819,16.988598,80.65358,CS
2905.5708,1639.1706,914.9819,17.160006,79.699435,CS
3022.9676,1655.2409,914.9819,16.291902,80.112421,CS
3052.3168,1623.1003,895.5142,15.40222,80.411442,CS
2700.1264,1671.3112,934.4496,15.363945,86.884981,CS
2993.6184,1607.03,876.0465,15.432767,78.873316,CS
2876.2216,1767.733,934.4496,16.012192,86.884981,CS
2905.5708,1735.5924,934.4496,17.195169,84.646323,CS
2905.5708,1703.4518,953.9173,18.187547,82.710338,CS
2905.5708,1687.3815,953.9173,18.638778,81.743501,CS
2905.5708,1623.1003,973.385,21.386105,79.429214,CS
2905.5708,1639.1706,973.385,20.112755,79.711982,CS
2905.5708,1639.1706,973.385,20.096512,79.705709,CS
2905.5708,1639.1706,973.385,20.150354,79.711982,CS
2905.5708,1639.1706,973.385,20.073944,79.711982,CS
2729.4756,1655.2409,953.9173,16.357114,85.422479,CS
2905.5708,1623.1003,973.385,20.196359,79.429214,CS
3140.3644,1542.7488,934.4496,15.570849,85.276022,CS
3111.0152,1558.8191,934.4496,16.660135,83.486526,CS
3081.666,1558.8191,953.9173,17.63961,82.927679,CS
3140.3644,1574.8894,953.9173,17.377705,84.095184,CS
3111.0152,1590.9597,953.9173,18.59769,82.855296,CS
3111.0152,1590.9597,953.9173,18.865854,82.492424,CS
3111.0152,1574.8894,953.9173,18.342866,82.855296,CS
3111.0152,1558.8191,953.9173,17.679556,83.486526,CS
3111.0152,1558.8191,953.9173,17.080287,83.486526,CS
2758.8248,1655.2409,953.9173,16.825167,84.291162,CS
3111.0152,1558.8191,953.9173,17.095766,83.486526,CS
2817.5232,1767.733,856.5788,11.460832,87.618491,CS
2846.8724,1767.733,876.0465,11.785122,87.31552,CS
2846.8724,1767.733,876.0465,11.862955,87.31552,CS
2817.5232,1767.733,876.0465,11.946287,87.664132,CS
2788.174,1767.733,876.0465,12.109041,88.238314,CS
2788.174,1751.6627,876.0465,12.359172,87.458562,CS
2788.174,1767.733,876.0465,12.323825,88.238314,CS
2817.5232,1767.733,876.0465,12.702394,87.664132,CS
2846.8724,1751.6627,895.5142,13.442172,86.37708,CS
2817.5232,1719.5221,914.9819,15.647861,85.146932,CS
2846.8724,1751.6627,895.5142,13.153992,86.37708,CS
2700.1264,1687.3815,837.1111,9.996952,86.833173,CS
2641.428,1703.4518,817.6434,9.125242,89.022469,CS
2641.428,1703.4518,817.6434,8.967183,89.554453,CS
2612.0788,1687.3815,817.6434,8.891279,89.988888,CS
2612.0788,1687.3815,837.1111,9.037203,90.138782,CS
2612.0788,1687.3815,837.1111,9.12731,90.138782,CS
2612.0788,1719.5221,817.6434,8.784644,90.426766,CS
2582.7296,1719.5221,798.1757,8.496572,91.214034,CS
2612.0788,1703.4518,798.1757,8.736817,89.627005,CS
2758.8248,1703.4518,914.9819,15.000825,86.05231,CS
2582.7296,1687.3815,778.708,8.587131,89.872131,CS
2964.2692,1671.3112,622.9664,5.760833,79.881162,CS
3052.3168,1639.1706,622.9664,5.251239,80,CS
3081.666,1607.03,642.4341,5.341273,80.60397,CS
3169.7136,1703.4518,720.3049,5.400466,85.276022,CS
3081.666,1590.9597,681.3695,4.541775,81.055537,CS
2934.92,1590.9597,681.3695,4.491989,79.511006,CS
2905.5708,1574.8894,661.9018,4.731983,80.721744,CS
2934.92,1735.5924,642.4341,4.928445,84.172442,CS
2905.5708,1639.1706,622.9664,5.833355,79.15807,CS
2758.8248,1703.4518,914.9819,15.106977,86.05231,CS
2934.92,1590.9597,584.031,5.184915,79.056941,CS
3140.3644,1526.6785,914.9819,15.442181,85.912746,CS
3081.666,1526.6785,934.4496,16.476993,84.291162,CS
3052.3168,1526.6785,953.9173,17.375843,83.408633,CS
3081.666,1574.8894,973.385,19.076921,82.462113,CS
3081.666,1574.8894,973.385,19.12112,82.462113,CS
3081.666,1590.9597,953.9173,19.377788,81.84131,CS
3052.3168,1590.9597,953.9173,19.876133,81.055537,CS
3022.9676,1590.9597,973.385,20.720788,80.280757,CS
2993.6184,1590.9597,973.385,21.356756,79.511006,CS
2758.8248,1655.2409,934.4496,16.163163,84.433406,CS
2964.2692,1590.9597,973.385,21.182113,79.429214,CS
3081.666,1558.8191,973.385,19.109804,82.764727,CS
3081.666,1558.8191,973.385,19.010798,82.855296,CS
3111.0152,1558.8191,953.9173,18.399926,83.354664,CS
3111.0152,1558.8191,953.9173,18.051099,83.240615,CS
3111.0152,1574.8894,953.9173,18.382393,82.365041,CS
3081.666,1574.8894,953.9173,18.679434,81.884064,CS
3081.666,1590.9597,953.9173,18.647048,81.565924,CS
3081.666,1607.03,953.9173,18.643274,81.584312,CS
3081.666,1590.9597,953.9173,18.358154,81.908486,CS
2788.174,1639.1706,934.4496,17.053329,83.384651,CS
3052.3168,1590.9597,953.9173,18.901513,80.808415,CS
3081.666,1703.4518,953.9173,18.110045,83.240615,CS
3052.3168,1703.4518,973.385,18.447684,83.216585,CS
3052.3168,1687.3815,973.385,19.018028,82.28001,CS
3022.9676,1687.3815,973.385,19.517556,81.939002,CS
2993.6184,1671.3112,973.385,20.481435,80.622577,CS
2964.2692,1655.2409,992.8527,21.4313,79.429214,CS
2964.2692,1655.2409,992.8527,22.183747,79.429214,CS
2964.2692,1655.2409,992.8527,22.295603,79.40403,CS
2964.2692,1655.2409,992.8527,22.354758,79.429214,D
2993.6184,1767.733,953.9173,15.65709,86.492774,D
2905.5708,1799.8736,934.4496,15.013469,88.391176,D
3199.0628,1703.4518,934.4496,16.369462,84.202138,D
3111.0152,1655.2409,953.9173,15.785479,82.873397,D
3111.0152,1639.1706,953.9173,16.051667,82.565126,D
3140.3644,1623.1003,973.385,15.881786,83.384651,D
3140.3644,1607.03,973.385,16.045824,83.384651,D
3169.7136,1590.9597,973.385,15.76749,84.693565,D
3169.7136,1590.9597,973.385,15.721292,84.693565,D
3199.0628,1590.9597,953.9173,15.265756,85.615419,D
3199.0628,1590.9597,953.9173,15.157466,85.615419,D
3199.0628,1590.9597,953.9173,15.099641,85.615419,D
2993.6184,1767.733,953.9173,15.734869,86.284413,D
3199.0628,1590.9597,953.9173,15.267859,85.615419,D
2788.174,1783.8033,895.5142,11.416191,88.238314,D
2758.8248,1767.733,876.0465,10.996765,87.595662,D
2817.5232,1719.5221,895.5142,12.369619,84.75848,D
2846.8724,1719.5221,895.5142,12.927752,84.599054,D
2846.8724,1719.5221,895.5142,13.168796,84.291162,D
2964.2692,1703.4518,934.4496,15.148855,82.28001,D
2846.8724,1751.6627,895.5142,12.809715,86.406018,D
2934.92,1703.4518,934.4496,15.221896,82.565126,D
2964.2692,1703.4518,934.4496,15.063169,82.377181,D
2993.6184,1751.6627,934.4496,15.904534,85.287748,D
2846.8724,1719.5221,934.4496,14.390078,84.646323,D
2817.5232,1735.5924,934.4496,12.456408,85.79627,D
2817.5232,1735.5924,934.4496,12.31926,85.79627,D
2788.174,1735.5924,934.4496,11.751495,86.452299,D
2788.174,1751.6627,914.9819,11.376416,87.114867,D
2788.174,1751.6627,914.9819,11.376416,87.114867,D
2788.174,1751.6627,914.9819,11.314472,87.114867,D
2758.8248,1767.733,914.9819,10.80991,88.526832,D
2758.8248,1767.733,914.9819,10.629957,88.526832,D
2524.0312,1623.1003,661.9018,4.395437,92.347171,D
2964.2692,1751.6627,934.4496,15.788279,85.375641,D
2524.0312,1623.1003,681.3695,4.907503,91.005494,D
3022.9676,1815.9439,681.3695,5.076715,88.073833,D
2993.6184,1799.8736,681.3695,5.088799,87.321246,D
2993.6184,1783.8033,681.3695,5.167968,86.348133,D
2993.6184,1783.8033,681.3695,5.167968,86.348133,D
3022.9676,1783.8033,681.3695,5.202516,86.284413,D
2993.6184,1751.6627,661.9018,5.379603,84.403791,D
2993.6184,1751.6627,661.9018,5.363377,84.403791,D
2993.6184,1751.6627,661.9018,5.440182,84.403791,D
2934.92,1751.6627,661.9018,5.357539,84.899941,D
2934.92,1767.733,934.4496,14.798288,86.371292,D
2934.92,1751.6627,661.9018,5.352193,84.899941,D
3287.1104,1574.8894,1012.3204,13.927434,87.800911,D
3345.8088,1542.7488,1012.3204,12.621979,90.801982,D
3375.158,1542.7488,992.8527,12.588285,91.400219,D
