a0,a2,a3,a4,a7,a10,class
195.078488,0.147405,8.359678,0.013904,-0.008042,366011.0722,CS
236.345729,0.15079,8.384325,0.012699,0.170657,474662.4984,CS
186.330078,0.12585,8.174723,0.031695,-0.15905,232122.3288,CS
247.520723,0.16104,8.355661,0.012456,0.078181,649412.841,CS
248.755791,0.159624,8.3621,0.014213,-0.001506,680731.5629,CS
241.410287,0.158715,8.363007,0.014151,0.019996,662131.3222,CS
240.315495,0.161502,8.355563,0.013522,0.035078,648112.2142,CS
249.239758,0.156192,8.384144,0.013494,-0.076887,631100.8109,CS
237.148484,0.154931,8.379706,0.01438,-0.083533,570704.9665,CS
245.489526,0.147469,8.420519,0.016085,0.024445,597999.6422,CS
215.760581,0.149557,8.413858,0.016717,0.078784,396742.7591,CS
219.858838,0.145215,8.382764,0.015421,0.072924,448079.8965,CS
215.59548,0.145922,8.377864,0.011704,0.034669,402198.2815,CS
226.100777,0.151897,8.342992,0.014331,0.055578,491971.2117,CS
157.900727,0.189562,8.061826,0.012578,-0.014168,330899.0429,CS
169.653646,0.188847,8.09313,0.014452,0.059736,411700.5863,CS
176.975563,0.181243,8.150748,0.016704,0.088589,426724.6123,CS
205.852785,0.159441,8.244932,0.016145,0.115235,517058.1036,CS
230.656893,0.128184,8.24804,0.03026,-0.029442,380734.5609,CS
244.046853,0.137362,8.358913,0.016376,-0.050784,574971.0789,CS
259.081672,0.133755,8.432093,0.016313,-0.061909,592284.7132,CS
260.805848,0.124189,8.479718,0.016401,-0.154589,590158.9758,CS
266.296523,0.120914,8.499717,0.016697,-0.183226,575199.6243,CS
236.765054,0.141151,8.420203,0.011673,-0.022551,468753.7698,CS
274.870553,0.112927,8.528527,0.017024,-0.12249,600365.5796,CS
309.624118,0.154409,8.358616,0.008799,-0.264416,972268.3153,CS
309.416754,0.14891,8.408821,0.008288,-0.437069,816485.4527,CS
299.394651,0.13928,8.462928,0.010114,-0.434962,749273.2065,CS
307.017287,0.138864,8.436439,0.011381,-0.62564,823168.1131,CS
221.630272,0.153231,8.321534,0.015188,-0.428871,513835.6476,CS
208.793024,0.150371,8.32229,0.016551,-0.342707,469543.9535,CS
206.11415,0.150493,8.326146,0.017666,-0.370025,404032.8505,CS
215.232227,0.15618,8.336081,0.017942,-0.277138,461276.2627,CS
222.315213,0.155576,8.348702,0.017268,-0.228386,501947.7929,CS
251.983536,0.138754,8.439401,0.011834,0.052468,513234.4991,CS
224.808989,0.154088,8.340691,0.018458,-0.197489,499111.2297,CS
370.873005,0.175953,8.479933,0.003546,-0.151094,2284498.474,CS
234.971618,0.188438,8.38167,0.003041,-0.137104,952293.8987,CS
235.760688,0.187477,8.367838,0.002944,-0.033022,987623.2446,CS
225.63899,0.196786,8.338734,0.002817,0.006198,931379.9452,CS
221.187727,0.194423,8.32192,0.002758,0.054585,927947.0732,CS
214.44688,0.19071,8.318404,0.002741,0.049885,966881.9184,CS
205.229923,0.185193,8.354677,0.002881,0.118105,877679.9216,CS
201.851554,0.165381,8.512467,0.004011,0.111947,644950.236,CS
186.328086,0.166283,8.456181,0.005686,0.119422,480660.9892,CS
254.373893,0.144361,8.42186,0.010508,0.085191,516906.5368,CS
184.937065,0.162995,8.451021,0.007141,0.136563,470996.2834,CS
223.1767,0.167818,8.325504,0.006523,0.034643,498867.7062,CS
295.380821,0.179045,8.278157,0.005864,-0.064996,1051386.644,CS
289.478874,0.177728,8.283175,0.005787,-0.10286,1023310.903,CS
293.478538,0.18101,8.266736,0.00565,-0.164907,1108760.413,CS
294.179987,0.182128,8.29037,0.005553,-0.208073,1089655.034,CS
302.542983,0.181704,8.338598,0.00554,-0.182183,1156315.681,CS
288.677704,0.180335,8.357716,0.00524,-0.212183,1056465.741,CS
283.546695,0.182409,8.372192,0.005175,-0.190041,982181.9158,CS
266.100783,0.181209,8.437734,0.005008,-0.199948,806099.5838,CS
280.027138,0.138909,8.442672,0.0111,0.145098,636058.2365,CS
269.409343,0.183243,8.416006,0.004771,-0.161514,932011.2565,CS
303.317838,0.2495,7.826059,0.007289,-0.28009,1581805.988,CS
315.652,0.258399,7.739416,0.008863,-0.25088,1602352.214,CS
314.662666,0.257652,7.765234,0.008889,-0.239806,1555007.445,CS
239.922832,0.225703,8.048292,0.007999,-0.197511,885283.3693,CS
232.44871,0.240939,7.814777,0.012506,-0.180803,857586.531,CS
159.66308,0.262026,7.592242,0.016914,-0.142636,409292.9693,CS
153.229091,0.27834,7.588958,0.009805,-0.142447,510618.3051,CS
351.117514,0.286949,7.587532,0.004592,-0.196135,3915694.648,CS
340.020982,0.268836,7.711717,0.005572,-0.220311,3384610.692,CS
288.157127,0.144642,8.435604,0.010801,0.092941,722003.1447,CS
246.11771,0.27938,7.452977,0.009789,-0.102655,1281229.476,CS
253.941031,0.146764,8.561596,0.006074,-0.376021,455548.9562,CS
261.479727,0.140374,8.585322,0.006218,-0.317139,457367.7164,CS
246.057788,0.142309,8.552106,0.006686,-0.259707,374430.0453,CS
295.959288,0.136457,8.534352,0.007251,-0.344087,759040.392,CS
268.809734,0.14542,8.458195,0.008027,-0.291126,651546.8416,CS
232.772625,0.146019,8.435446,0.008559,-0.334851,563778.7748,CS
219.74253,0.140592,8.45464,0.008746,-0.274845,424376.466,CS
215.581484,0.142469,8.401231,0.009209,-0.268651,465635.1371,CS
227.859685,0.137355,8.415366,0.010803,-0.161634,472258.6934,CS
272.808553,0.149,8.407523,0.011007,0.19513,654591.8888,CS
260.831172,0.130356,8.502739,0.012811,0.008764,527829.2175,CS
247.264233,0.148232,8.453654,0.006408,-0.630352,666768.8725,CS
239.681465,0.148558,8.439948,0.006762,-0.562254,597552.6633,CS
229.636455,0.149112,8.450153,0.00673,-0.512844,516268.3408,CS
246.324359,0.154925,8.453307,0.006349,-0.469847,649561.2158,CS
